WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.8 -6.6)",1471.0,12.0,Kabupaten Bogor,3201.0,2.0,-6.6,106.8,1.0
"POINT (106.922203 -6.92405)",1472.0,12.0,Kabupaten Sukabumi,3202.0,2.0,-6.92405,106.922203,1.0
"POINT (107.1307289 -6.8172531)",1473.0,12.0,Kabupaten Cianjur,3203.0,2.0,-6.8172531,107.1307289,1.0
"POINT (107.6098111 -6.9147444)",1474.0,12.0,Kabupaten Bandung,3204.0,2.0,-6.9147444,107.6098111,1.0
"POINT (107.908699 -7.227906)",1475.0,12.0,Kabupaten Garut,3205.0,2.0,-7.227906,107.908699,1.0
"POINT (108.214104 -7.327954)",1476.0,12.0,Kabupaten Tasikmalaya,3206.0,2.0,-7.327954,108.214104,1.0
"POINT (108.35 -7.3333333)",1477.0,12.0,Kabupaten Ciamis,3207.0,2.0,-7.3333333,108.35,1.0
"POINT (59.6302841 -14.8043607)",1478.0,12.0,Kabupaten Kuningan,3208.0,2.0,-14.8043607,59.6302841,1.0
"POINT (122.7921462 -13.8423734)",1479.0,12.0,Kabupaten Cirebon,3209.0,2.0,-13.8423734,122.7921462,1.0
"POINT (167.3140378 13.8084826)",1480.0,12.0,Kabupaten Majalengka,3210.0,2.0,13.8084826,167.3140378,1.0
"POINT (109.9012137 -1.0382904)",1481.0,12.0,Kabupaten Sumedang,3211.0,2.0,-1.0382904,109.9012137,1.0
"POINT (159.1215318 3.3169339)",1482.0,12.0,Kabupaten Indramayu,3212.0,2.0,3.3169339,159.1215318,1.0
"POINT (111.8091279 -31.7995135)",1483.0,12.0,Kabupaten Subang,3213.0,2.0,-31.7995135,111.8091279,1.0
"POINT (107.4499404 -6.5386806)",1484.0,12.0,Kabupaten Purwakarta,3214.0,2.0,-6.5386806,107.4499404,1.0
"POINT (107.3375791 -6.3227303)",1485.0,12.0,Kabupaten Karawang,3215.0,2.0,-6.3227303,107.3375791,1.0
"POINT (107.0 -6.2333333)",1486.0,12.0,Kabupaten Bekasi,3216.0,2.0,-6.2333333,107,1.0
"POINT (107.4321959 -6.8937121)",1487.0,12.0,Kabupaten Bandung Barat,3217.0,2.0,-6.8937121,107.4321959,1.0
"POINT (138.439171 2.1795693)",1488.0,12.0,Kota Bogor,3271.0,2.0,2.1795693,138.439171,1.0
"POINT (93.3832093 -1.4789302)",1489.0,12.0,Kota Sukabumi,3272.0,2.0,-1.4789302,93.3832093,1.0
"POINT (143.8156349 12.7499082)",1490.0,12.0,Kota Bandung,3273.0,2.0,12.7499082,143.8156349,1.0
"POINT (86.7453408 -10.9151622)",1491.0,12.0,Kota Cirebon,3274.0,2.0,-10.9151622,86.7453408,1.0
"POINT (77.6648394 -16.1318316)",1492.0,12.0,Kota Bekasi,3275.0,2.0,-16.1318316,77.6648394,1.0
"POINT (106.6212572 -17.6224766)",1493.0,12.0,Kota Depok,3276.0,2.0,-17.6224766,106.6212572,1.0
"POINT (128.6224827 2.5986047)",1494.0,12.0,Kota Cimahi,3277.0,2.0,2.5986047,128.6224827,1.0
"POINT (60.7582228 4.5960682)",1495.0,12.0,Kota Tasikmalaya,3278.0,2.0,4.5960682,60.7582228,1.0
"POINT (95.5351535 -17.8876112)",1496.0,12.0,Kota Banjar,3279.0,2.0,-17.8876112,95.5351535,1.0
